step,seed,avg_eval_return,var_eval_return,num_evals_used,removed_lowest_score,mean_eval_success
6000,456,139.20277240872383,269.3848864336477,4,71.61489090323448,0.0
12000,456,85.35332088172436,186.16856996092687,4,61.6631501019001,0.0
18000,456,94.4998659864068,191.2793307002636,4,78.78726994991302,0.0
24000,456,86.52458608150482,477.5968773554014,4,51.640384793281555,0.0
30000,456,64.79063712060452,96.20615914614547,4,44.554136484861374,0.0
36000,456,110.12254643440247,211.12687174368796,4,78.55857853591442,0.0
42000,456,114.15063437819481,67.42733142250016,4,71.8535994887352,0.0
48000,456,291.45886938273907,87099.8021877288,4,105.80329155921936,0.2
54000,456,118.17718769609928,123.22872842627605,4,104.34017711877823,0.0
60000,456,448.1332377195358,120677.44664705278,4,94.47976958751678,0.4
66000,456,397.8221604824066,124047.71120484338,4,110.82965695858002,0.6000000000000001
72000,456,343.90387707948685,140388.43478928597,4,119.05830204486847,0.2
78000,456,172.0322958379984,3216.10149933781,4,98.64343935251236,0.0
84000,456,1482.6890756338835,125715.7398597792,4,145.54002964496613,0.8
90000,456,694.316338121891,400586.2774290235,4,138.93011569976807,0.4
96000,456,298.21621181070805,91817.83857692812,4,126.2725305557251,0.2
102000,456,437.87892309576273,226462.3397543648,4,158.63223713636398,0.6000000000000001
108000,456,995.6692829877138,342312.0876466515,4,131.06342196464539,0.8
114000,456,862.7497821748257,231838.26914320144,4,178.91956663131714,0.6000000000000001
120000,456,1285.5191780477762,212371.704168455,4,183.70921421051025,0.8
126000,456,199.05410294234753,1857.6456375859714,4,87.12537345290184,0.0
132000,456,967.0901462882757,103788.06338340498,4,163.7196540236473,0.8
138000,456,933.2996243834496,89423.15297208697,4,178.16835510730743,0.6000000000000001
144000,456,1197.8752048164606,494094.14136207616,4,146.46968579292297,0.6000000000000001
