step,seed,avg_eval_return,var_eval_return,num_evals_used,mean_eval_success
6000,2024,126.7732273697853,331.33001012431856,5,0.0
12000,2024,108.26024280786514,347.2475718788323,5,0.0
18000,2024,103.15986110568046,672.3885946649968,5,0.0
24000,2024,109.98886618614196,94.19450407405738,5,0.0
30000,2024,112.76920722723007,613.3986026015888,5,0.0
36000,2024,98.45644909143448,529.8010497335604,5,0.0
42000,2024,73.29223742485047,119.80593941191748,5,0.0
48000,2024,87.33627965450287,675.6023741703856,5,0.0
54000,2024,355.2407239317894,137410.2136425774,5,0.0
60000,2024,1090.56351852417,345044.2933377109,5,1.0
66000,2024,732.26868262887,680104.7381151869,5,0.4
72000,2024,627.7972735524178,759278.6586511758,5,0.4
78000,2024,688.6051625490188,518634.06395015464,5,0.4
84000,2024,1600.2587567389012,855224.5748034857,5,0.8
90000,2024,858.4592093586922,559490.6634210373,5,0.6000000000000001
96000,2024,1673.5704223036767,539267.76640561,5,1.0
102000,2024,1583.83774818182,1701324.7158128847,5,0.6000000000000001
108000,2024,977.3664276123047,959839.5250291704,5,0.8
114000,2024,1486.2462670445443,1244313.358958878,5,0.8
120000,2024,1315.1913826346397,1163145.0943783887,5,0.6000000000000001
126000,2024,877.9720532119275,962669.4883034239,5,0.6000000000000001
132000,2024,1310.491984963417,551753.9741429539,5,0.6000000000000001
138000,2024,633.656199079752,1011354.7014651747,5,0.2
144000,2024,1685.6606303989888,1155717.7514077625,5,0.8
