step,seed,avg_eval_return,var_eval_return,num_evals_used,mean_eval_success
6000,2024,133.48125685453414,340.3462446928416,5,0.0
12000,2024,95.89236516356468,337.1183570003923,5,0.0
18000,2024,91.50500153899193,655.015233042857,5,0.0
24000,2024,158.88101636171342,300.967132689423,5,0.0
30000,2024,169.14752459526062,549.3610951239064,5,0.0
36000,2024,267.8970349669456,72077.89477449888,5,0.0
42000,2024,252.3908017039299,48801.2388669718,5,0.2
48000,2024,135.29968732595444,1352.0741628717683,5,0.0
54000,2024,414.01509141921997,88762.47562676703,5,0.4
60000,2024,212.81193993091583,32461.73406480701,5,0.2
66000,2024,588.7486997842789,162751.9343241103,5,0.4
72000,2024,498.0909894824028,558496.7954232557,5,0.2
78000,2024,425.27365297079086,389868.12705773686,5,0.2
84000,2024,782.1624114990234,758860.9529551609,5,0.6000000000000001
90000,2024,518.722246748209,571256.386815049,5,0.2
96000,2024,702.3819299817085,147063.36139485193,5,0.4
102000,2024,1384.3089201807975,650527.1499208742,5,0.8
108000,2024,1114.3883028745652,473133.2853799981,5,0.8
114000,2024,651.4609242081642,492502.9390146993,5,0.4
120000,2024,1007.6795137405395,905308.0368516443,5,0.6000000000000001
126000,2024,1353.554694455862,788721.9021148137,5,0.8
132000,2024,1657.7654264092446,380514.7584373378,5,1.0
138000,2024,964.8747068941593,856145.7107559971,5,0.6000000000000001
144000,2024,1069.7260702490807,761321.4786890054,5,0.6000000000000001
