step,seed,avg_eval_return,var_eval_return,num_evals_used,mean_eval_success
6000,123,132.65759555101394,719.462050125903,5,0.0
12000,123,121.73343758583069,168.67605010940426,5,0.0
18000,123,213.78639549016953,5995.884206139529,5,0.0
24000,123,169.32695294618605,406.4925003872348,5,0.0
30000,123,174.90420919656754,130.9516221005107,5,0.0
36000,123,206.17573298215865,15679.800649969062,5,0.2
42000,123,209.1709989309311,30248.710371740814,5,0.2
48000,123,135.5074105501175,531.4448926801304,5,0.0
54000,123,211.0540308177471,38845.85006847354,5,0.2
60000,123,137.59551315307618,469.079446996078,5,0.0
66000,123,285.9971587628126,131884.0446845136,5,0.2
72000,123,114.46613848209381,173.02733855138183,5,0.0
78000,123,654.3802081108093,104788.98510342892,5,0.6000000000000001
84000,123,581.2078993320465,219724.1136296296,5,0.6000000000000001
90000,123,196.62715036869048,15718.8023675023,5,0.0
96000,123,452.35671439170835,175850.86719298805,5,0.4
102000,123,864.8540709257126,575998.917057799,5,0.6000000000000001
108000,123,1159.0946222782136,396447.0122485825,5,0.8
114000,123,886.5196161985398,553598.6589302606,5,0.6000000000000001
120000,123,423.7443310022354,131233.83397427478,5,0.4
126000,123,771.1152671933174,467634.4355971385,5,0.2
132000,123,711.3859188199043,655588.9027504245,5,0.4
138000,123,1554.935891121626,385631.36665352696,5,1.0
144000,123,1215.879102218151,149147.6602532978,5,1.0
