step,num_seeds,mean_eval_return,std_eval_return,min_eval_return,max_eval_return,mean_eval_success,std_eval_success,min_eval_success,max_eval_success
6000,4,121.76546283960343,12.632659026160676,110.59867285490036,137.29508642554282,0.0,0.0,0.0,0.0
12000,4,122.65533356368542,40.19592848955871,73.74553954005242,165.3530727148056,0.0,0.0,0.0,0.0
18000,4,138.98070879876613,29.654087483379456,103.15986105799675,168.92782113552093,0.0,0.0,0.0,0.0
24000,4,201.7039402872324,80.70716295264229,110.12484018802643,297.5311100959778,0.2,0.28284271247461906,0.0,0.6000000000000001
30000,4,385.44792911112313,345.34474777439453,75.98575975894929,840.733919262886,0.30000000000000004,0.38297084310253526,0.0,0.8
36000,4,615.0842905551195,491.7901393381325,162.6662841439247,1176.7656435966492,0.5,0.4760952285695233,0.0,1.0
42000,4,840.7814368039369,380.90054646835785,471.0963499903679,1321.562396287918,0.65,0.30000000000000004,0.4,1.0
48000,4,460.5856726050377,295.53003433231885,152.3729017019272,849.7639133751393,0.30000000000000004,0.25819888974716115,0.0,0.6000000000000001
54000,4,634.1874436780811,433.62729870281277,244.95108425617218,1244.0581518173217,0.4,0.28284271247461906,0.2,0.8
60000,4,1059.9414473809302,550.5462921077183,612.389676618576,1787.5983451455832,0.7,0.34641016151377546,0.2,1.0
66000,4,932.3635265529156,405.5946411706558,330.25826156139374,1192.425102353096,0.6000000000000001,0.3265986323710904,0.2,1.0
72000,4,801.7120742633938,746.2271218629991,143.49154169559478,1539.138088619709,0.45,0.5259911279353167,0.0,1.0
78000,4,1000.5981185466052,819.8865213617972,459.18915835618975,2211.2874918818475,0.5,0.41633319989322654,0.0,1.0
84000,4,1133.9433163374663,459.1921166614641,712.2898892879487,1766.906133079529,0.7000000000000001,0.19999999999999996,0.6000000000000001,1.0
90000,4,1245.2284671276807,919.3106165617962,200.59127576947213,2083.1460376024247,0.7,0.4760952285695233,0.0,1.0
96000,4,876.8639335408807,944.9620486283833,260.84770904779435,2264.1043813467027,0.4,0.43204937989385733,0.0,1.0
102000,4,1065.3078641563654,697.2687471039886,133.3156025648117,1603.193040084839,0.6000000000000001,0.43204937989385733,0.0,1.0
108000,4,1431.4316807210444,455.56342050373536,886.8088520407676,1992.3068778157235,0.8,0.282842712474619,0.4,1.0
114000,4,1086.442682391405,767.490237698598,112.75811889171601,1716.306890285015,0.55,0.443471156521669,0.0,1.0
120000,4,1515.8781687319279,1123.9463401225573,139.1355783224106,2516.9111689925194,0.6,0.48989794855663565,0.0,1.0
126000,4,1343.138009007275,433.55070314756875,919.4527615070343,1891.3708761870862,0.75,0.09999999999999998,0.6000000000000001,0.8
132000,4,1469.6118634596467,773.9251385260648,668.3705119371414,2190.704629307985,0.8500000000000001,0.19148542155126758,0.6000000000000001,1.0
138000,4,1317.4905977398157,418.48278352474586,870.5100442707538,1719.4390243768692,0.75,0.19148542155126758,0.6000000000000001,1.0
144000,4,1711.6547171652314,599.0512369713817,1147.1507004380226,2412.9899697065352,0.8,0.16329931618554516,0.6000000000000001,1.0
