step,seed,avg_eval_return,var_eval_return,num_evals_used,removed_lowest_score,mean_eval_success
6000,456,442.68746000528336,2740.94256691098,4,353.699289560318,0.0
12000,456,297.1008551418781,163.00552673002647,4,276.20065450668335,0.0
18000,456,820.5549981594086,6198.607899263253,4,721.9042551517487,0.0
24000,456,1297.7003878951073,1050.0532378992784,4,1248.1333708763123,0.0
30000,456,1276.3157332539558,1561.6532288237406,4,1108.1685044765472,0.0
36000,456,1359.5109851956367,1145.9647915825537,4,1268.4755446910858,0.0
42000,456,1410.3577538132668,926.7276992289399,4,1231.9778394699097,0.0
48000,456,1322.5507763624191,6765.131750819528,4,953.3073205947876,0.0
54000,456,1269.657636165619,24753.8627390249,4,975.5522575378418,0.0
60000,456,1305.3484296798706,24419.004057201597,4,1087.9572396278381,0.0
66000,456,1402.4834594726562,1312.0092442701723,4,1274.4466660022736,0.0
72000,456,1439.970117688179,964.39722800671,4,1389.34654712677,0.0
78000,456,1469.3149874806404,1067.735909934332,4,1431.9639999866486,0.0
84000,456,1441.790342450142,1494.905494591907,4,1364.5676980018616,0.0
90000,456,1451.9624296426773,2103.046168653288,4,1350.7849328517914,0.0
96000,456,1424.7689893841743,7785.823868261567,4,1325.9387097358704,0.0
102000,456,1455.330463886261,61.16538334365225,4,1403.3386015892029,0.0
108000,456,1478.3429626822472,152.1195184503441,4,1201.1987743377686,0.0
114000,456,1445.2145074009895,1233.574571617609,4,1412.81018948555,0.0
120000,456,1481.2655434012413,821.3879925739803,4,1406.905009508133,0.0
126000,456,1444.42195469141,2026.7986012801923,4,1332.3125076293945,0.0
132000,456,1456.2864899635315,216.08747674929168,4,1398.6039361953735,0.0
138000,456,1407.8747780323029,4346.664270132352,4,1342.2963218688965,0.0
144000,456,1517.6349937319756,880.0920798414971,4,1449.7741434574127,0.0
