step,seed,avg_eval_return,var_eval_return,num_evals_used,removed_lowest_score,mean_eval_success
6000,2024,367.70462930202484,477.28245498043947,4,318.8253062963486,0.0
12000,2024,1278.4292695522308,34987.2541394331,4,1033.252916097641,0.0
18000,2024,1403.1339252591133,1347.6983927153258,4,1363.0129203796387,0.0
24000,2024,1331.2093997001648,3596.936742377137,4,1268.6950311660767,0.0
30000,2024,1051.1492182016373,76437.33310142615,4,658.4007879495621,0.0
36000,2024,1180.2778305411339,13836.282130531044,4,1068.377346277237,0.0
42000,2024,1518.4002596139908,1064.0286777853719,4,1379.8115584850311,0.0
48000,2024,1447.177250444889,8043.677594249042,4,1285.123888015747,0.0
54000,2024,1513.2352437376976,6.781164831682243,4,1393.173941373825,0.0
60000,2024,1457.36506909132,5213.618954846225,4,1262.0041780471802,0.0
66000,2024,1449.0771779417992,2846.021271460007,4,1382.0823013782501,0.0
72000,2024,1465.8637124300003,8018.122502598903,4,1315.443481206894,0.0
78000,2024,1434.177687048912,1103.0246727776082,4,1365.8263700008392,0.0
84000,2024,1474.8687200546265,1770.081636859342,4,1389.3871941566467,0.0
90000,2024,1492.0328547358513,444.2610087126222,4,1293.954552412033,0.0
96000,2024,1490.552030801773,356.3217323097085,4,1444.2890791893005,0.0
102000,2024,1479.0601881742477,866.0593371294432,4,1386.887110710144,0.0
108000,2024,1492.6004440188408,1257.3839203872215,4,1347.8291976451874,0.0
114000,2024,1429.1422336101532,3763.095535161215,4,1338.7718510627747,0.0
120000,2024,1431.2283044457436,2916.8256986425677,4,1315.170508146286,0.0
126000,2024,1468.1239778995514,6430.197197827195,4,1376.0489828586578,0.0
132000,2024,1455.4816228747368,1359.6792041628985,4,1098.519117116928,0.0
138000,2024,1488.1822252869606,775.0189078410085,4,1399.1595616340637,0.0
144000,2024,1495.883756518364,1550.578755816717,4,1419.3332154750824,0.0
