step,seed,avg_eval_return,var_eval_return,num_evals_used,removed_lowest_score,mean_eval_success
6000,789,279.4984779059887,4.4052794781720515,4,270.37572264671326,0.0
12000,789,612.7157853543758,55633.11129319194,4,369.3255126476288,0.0
18000,789,1419.312991797924,3857.9597744913685,4,574.9886474609375,0.0
24000,789,1423.8427968621254,21277.188887220305,4,1143.1802153587341,0.0
30000,789,1511.4142082929611,44879.748882428226,4,1315.642739057541,0.0
36000,789,1697.3382472395897,4394.737515300183,4,1455.6158244609833,0.0
42000,789,1473.4772568941116,244.89280920221964,4,1280.2917597293854,0.0
48000,789,1572.4238252043724,36986.072310067735,4,1209.8369455337524,0.0
54000,789,1565.6574661135674,54132.128307055704,4,1343.5957016944885,0.2
60000,789,1672.5269448161125,2326.2846854356017,4,1478.8101525306702,0.0
66000,789,1543.166622042656,261.9795745195475,4,1518.2816016674042,0.0
72000,789,1428.404890537262,10409.040796075134,4,1232.002207994461,0.0
78000,789,1602.1957337260246,18227.764713091205,4,1431.589729309082,0.2
84000,789,2136.0953080654144,2165.997101275156,4,1802.3075881004333,0.4
90000,789,2023.2197540998459,7889.513440187277,4,1859.6280889511108,0.6000000000000001
96000,789,2149.7037140727043,34407.85091011723,4,1872.4778141975403,0.0
102000,789,2171.6133323311806,5565.238612506025,4,2052.098117351532,0.0
108000,789,2309.513602733612,2660.1430368917286,4,2193.109573841095,0.0
114000,789,2491.6704432964325,2025.200475926993,4,2384.521968126297,0.2
120000,789,2542.980704367161,3417.2330929158993,4,2468.8832948207855,1.0
126000,789,2247.614222764969,11480.874024554027,4,1997.0512199401855,0.6000000000000001
132000,789,2655.6247029304504,712.5318295987264,4,2230.0595123767853,0.8
138000,789,1935.4779288768768,271118.99467533064,4,1472.045030117035,0.4
144000,789,2654.938647568226,122.76075252057346,4,2589.653029680252,1.0
