step,seed,avg_eval_return,var_eval_return,num_evals_used,removed_lowest_score,mean_eval_success
6000,456,172.27613240480423,707.3352686164184,4,49.480508118867874,0.0
12000,456,198.60000157356262,195.91689382010773,4,179.11774396896362,0.0
18000,456,234.7648840546608,216.60048894484615,4,189.32221126556396,0.0
24000,456,253.69552713632584,44.684600735298226,4,217.56433168053627,0.0
30000,456,271.5019410252571,45.570625949341455,4,229.07204204797745,0.0
36000,456,264.1604473888874,293.7408610494527,4,224.037214666605,0.0
42000,456,273.94191397726536,44.06687560852428,4,230.00703519582748,0.0
48000,456,279.80787909030914,78.85908345272843,4,263.00175899267197,0.0
54000,456,275.8043927401304,8.148734155345512,4,261.64626383781433,0.0
60000,456,288.9072710573673,13.556118718049033,4,270.8273383975029,0.0
66000,456,281.8932893574238,34.85009020233037,4,261.8973113298416,0.0
72000,456,266.7914111763239,109.4347886535157,4,240.6431297659874,0.0
78000,456,282.65380991995335,79.51606464168385,4,225.80244556069374,0.0
84000,456,281.42044200003147,16.82800695365837,4,274.6964683532715,0.0
90000,456,278.802820622921,28.974114374982307,4,258.07111686468124,0.0
96000,456,261.1529099792242,70.62538126640662,4,229.0835384130478,0.0
102000,456,277.6696895509958,24.63501517414473,4,271.7071990966797,0.0
108000,456,286.24344719946384,32.19549541837379,4,275.4874355196953,0.0
114000,456,287.0975710004568,27.16225869006595,4,278.5563883781433,0.0
120000,456,285.2383449822664,36.73550226255822,4,278.7532839179039,0.0
126000,456,289.31172356009483,22.785453279412067,4,277.5452564358711,0.0
132000,456,283.90404696017504,96.91013667171676,4,269.95784109830856,0.0
138000,456,280.9923423230648,3.3207122381149303,4,277.7596652507782,0.0
144000,456,290.60133193433285,10.464623838643933,4,281.7713788151741,0.0
