step,seed,avg_eval_return,var_eval_return,num_evals_used,removed_lowest_score,mean_eval_success
6000,123,152.11357735097408,2288.2298896556754,4,66.95635083317757,0.0
12000,123,258.31630578637123,34.152139130135915,4,242.18633925914764,0.0
18000,123,1139.533089697361,13786.424825904656,4,20.6006979085505,0.8
24000,123,987.6895112614147,1086342.852826592,4,56.060966224060394,0.4
30000,123,1872.5697400718927,40092.33371991004,4,195.50272792577744,0.8
36000,123,1992.148834347725,138709.61089217884,4,1046.0448107123375,1.0
42000,123,2127.5668080300093,155327.0903493145,4,269.06712263822556,0.8
48000,123,1816.585197404027,1116078.1559249468,4,191.15609004348516,0.6000000000000001
54000,123,2310.092342853546,50381.46729032829,4,1332.251662671566,1.0
60000,123,2439.649940818548,1630.4151844073876,4,1697.9778935909271,1.0
66000,123,2398.0409762859344,43080.77464986241,4,204.3212050497532,0.8
72000,123,2504.2512750327587,553.1442482262327,4,2423.825283050537,1.0
78000,123,2539.0831515043974,570.6328642099046,4,2466.4243002533913,1.0
84000,123,2517.974601149559,203.76696888743663,4,2489.748501777649,1.0
90000,123,2532.155186906457,315.6535355487093,4,2450.4037054777145,1.0
96000,123,2444.7982188761234,6744.003686847701,4,923.5689997076988,1.0
102000,123,2481.6080982983112,1060.532752898326,4,2363.74652081728,1.0
108000,123,2443.7010419368744,1252.7869890485217,4,2402.634568810463,1.0
114000,123,2494.7610215246677,550.3243661942337,4,2469.5157029628754,1.0
120000,123,2534.2945106625557,399.62366550150574,4,2445.3209249973297,1.0
126000,123,2501.3818759322166,1525.1425389392625,4,2438.0539332032204,1.0
132000,123,2505.4347449690104,2820.2967545509023,4,2451.995397925377,1.0
138000,123,2521.500602632761,879.7076083832834,4,785.5811042636633,0.8
144000,123,2530.0135405808687,683.1594758192559,4,2498.9439539909363,1.0
