step,seed,avg_eval_return,var_eval_return,num_evals_used,mean_eval_success
6000,2024,410.8674689292908,5061.614491032327,5,0.0
12000,2024,614.9454057216644,7772.251951594224,5,0.0
18000,2024,1301.0802610874175,6548.879633213643,5,0.0
24000,2024,1235.0632784843444,161827.11808299567,5,0.0
30000,2024,1615.0277873516084,4251.995019908723,5,0.0
36000,2024,1603.0149851322174,10184.064515405153,5,0.0
42000,2024,1548.5848521232606,1048.776544809932,5,0.0
48000,2024,1651.5225860595704,5947.974515718964,5,0.0
54000,2024,1673.5067174434662,18004.719948592494,5,0.0
60000,2024,1650.0054538726806,79517.94364427005,5,0.0
