step,seed,avg_eval_return,var_eval_return,num_evals_used,mean_eval_success
6000,123,370.8647882461548,176.71056886277324,5,0.0
12000,123,671.3699320793152,36989.04022681535,5,0.0
18000,123,1382.6561445236207,3895.153504560502,5,0.0
24000,123,1444.0796810150146,8761.302946098489,5,0.0
30000,123,1231.3920894622802,23053.873899396516,5,0.0
36000,123,1462.8989490509034,9587.91766044289,5,0.0
42000,123,1428.3775935173035,19650.17623318622,5,0.0
48000,123,1331.9799459934234,2546.992806071148,5,0.0
54000,123,1447.3606271266938,2295.576156657648,5,0.0
60000,123,1411.0597802639008,6468.873726428597,5,0.0
66000,123,1464.7166819572449,6156.437940262393,5,0.0
72000,123,1473.3842512130736,1039.1055807002176,5,0.0
78000,123,1415.9891619682312,23238.491154968353,5,0.0
84000,123,1318.5175590515137,8182.701591746889,5,0.0
90000,123,1502.3069002628326,1903.0802887093084,5,0.0
96000,123,1403.1507326602937,18807.252532905877,5,0.0
102000,123,1364.3237138748168,15045.949085129903,5,0.0
108000,123,1423.7402173042296,1962.375298765894,5,0.0
114000,123,1508.4895372867584,694.7090283443036,5,0.0
120000,123,1428.3302369594574,14897.31634497397,5,0.0
126000,123,1513.5392282962798,633.0086816060484,5,0.0
132000,123,1480.0020834445954,7624.13806206872,5,0.0
138000,123,1492.2536361217499,553.142005976123,5,0.0
144000,123,1383.6032033920287,10379.291447146225,5,0.0
