step,seed,avg_eval_return,var_eval_return,num_evals_used,mean_eval_success
6000,456,311.71157054901124,21.479924221779264,5,0.0
12000,456,932.2302132129669,6626.46207682515,5,0.0
18000,456,1015.7843602657318,120720.47780034607,5,0.0
24000,456,1320.616745328903,26826.3972985245,5,0.0
30000,456,1043.5455184459686,8591.140658393275,5,0.0
36000,456,1131.3762528896332,22602.430259863402,5,0.0
42000,456,1271.0497555732727,3779.725922530949,5,0.0
48000,456,1333.774276638031,8817.944316597133,5,0.0
54000,456,1375.9017032623292,20236.569971473407,5,0.0
60000,456,1395.7015471458435,5378.2006520954665,5,0.0
66000,456,1261.626457452774,27754.5693125639,5,0.0
72000,456,1510.7068419933319,18521.5091818201,5,0.0
78000,456,1409.501001882553,4335.136060927631,5,0.0
84000,456,1495.3685573577882,14613.977682412577,5,0.4
90000,456,2299.2349225997923,879.4867992931787,5,1.0
96000,456,2147.027302455902,148874.7748315889,5,1.0
102000,456,1941.0181802749635,389262.58224655077,5,1.0
108000,456,2049.2501635551453,175224.81618577978,5,1.0
114000,456,2328.7997094154357,3559.704726234927,5,1.0
120000,456,1710.6083017826081,49967.27729542403,5,0.6000000000000001
126000,456,2332.175034856796,2334.1287975967343,5,1.0
126300,456,2388.4503777980804,11336.610630942203,5,1.0
132000,456,2084.473298883438,185627.90083557184,5,1.0
138000,456,2286.782622385025,5580.880558220007,5,1.0
144000,456,2333.084494018555,5051.756550335859,5,1.0
