step,seed,avg_eval_return,var_eval_return,num_evals_used,mean_eval_success
6000,789,121.87513288855553,2694.646702821768,5,0.0
12000,789,231.19696979522706,79.13629054540829,5,0.0
18000,789,113.28252942804247,5958.06729210647,5,0.0
24000,789,418.56206792532464,302484.02204723866,5,0.2
30000,789,1050.9333404660224,586530.5273358865,5,0.6000000000000001
36000,789,860.0585815429688,578501.7152374069,5,0.6000000000000001
42000,789,1100.0631788611413,506519.07222980633,5,0.6000000000000001
48000,789,414.34878648519515,61428.40720766589,5,0.2
54000,789,1347.3566509723664,404246.13619078737,5,0.8
60000,789,923.739608681202,415008.5985908528,5,0.6000000000000001
66000,789,1503.0902825653552,382283.9261331678,5,1.0
72000,789,903.8522483944893,567795.8402993684,5,0.8
78000,789,2089.9161175012587,122872.35032390471,5,1.0
84000,789,1922.482273387909,232539.19172303838,5,1.0
90000,789,2075.895583283901,178798.5049012249,5,1.0
